"spec","acn","uv"
"A",1.26,50
"A",0.82,50
"A",1.04,50
"A",1.09,50
"A",0.64,50
"A",1.29,50
"A",1.06,50
"A",1.07,50
"A",0.8,50
"A",0.95,50
"A",1.95,100
"A",1.66,100
"A",2.11,100
"A",1.01,100
"A",1.14,100
"A",2.46,100
"A",2.28,100
"A",2.35,100
"A",1.62,100
"A",2.29,100
"A",2.68,150
"A",2.69,150
"A",2.37,150
"A",3.06,150
"A",4.12,150
"A",2.99,150
"A",2.35,150
"A",3.1,150
"A",3.32,150
"A",4.17,150
"A",5.41,200
"A",4.6,200
"A",3.09,200
"A",5.58,200
"A",3.53,200
"A",5.6,200
"A",4.37,200
"A",4.03,200
"A",4.1,200
"A",1.98,200
"A",4.08,250
"A",2.75,250
"A",3.12,250
"A",4.72,250
"A",6.93,250
"A",5.24,250
"A",4.39,250
"A",2.77,250
"A",3.96,250
"A",7.54,250
"A",10.09,300
"A",5.42,300
"A",5.3,300
"A",4.31,300
"A",7.62,300
"A",6.09,300
"A",6.72,300
"A",5.72,300
"A",7.34,300
"A",7.35,300
"A",4.93,350
"A",7.02,350
"A",8.22,350
"A",4.78,350
"A",9.03,350
"A",9.24,350
"A",7.67,350
"A",7.63,350
"A",8.28,350
"A",7.77,350
"B",0.95038,50
"B",0.95817,50
"B",1.19187,50
"B",1.09839,50
"B",0.95817,50
"B",1.08281,50
"B",1.20745,50
"B",1.28535,50
"B",1.0127,50
"B",1.00491,50
"B",1.72938,100
"B",2.46164,100
"B",1.88518,100
"B",2.56291,100
"B",2.1033,100
"B",2.09551,100
"B",1.45673,100
"B",2.04877,100
"B",1.47231,100
"B",1.44115,100
"B",2.71092,150
"B",2.91346,150
"B",2.87451,150
"B",1.62811,150
"B",3.116,150
"B",2.43048,150
"B",3.45097,150
"B",2.42269,150
"B",3.21727,150
"B",3.895,150
"B",4.10533,200
"B",3.20948,200
"B",4.22218,200
"B",2.89009,200
"B",5.42184,200
"B",2.15783,200
"B",3.54445,200
"B",4.45588,200
"B",3.77815,200
"B",4.24555,200
"B",6.13073,250
"B",5.09466,250
"B",4.7519,250
"B",4.40914,250
"B",4.35461,250
"B",2.71871,250
"B",2.36816,250
"B",4.38577,250
"B",5.70228,250
"B",3.21727,250
"B",5.72565,300
"B",5.34394,300
"B",4.54157,300
"B",6.24758,300
"B",6.26316,300
"B",6.14631,300
"B",5.85029,300
"B",5.27383,300
"B",5.19593,300
"B",6.14631,300
"B",7.26028,350
"B",4.38577,350
"B",8.43657,350
"B",8.69364,350
"B",7.93022,350
"B",4.13649,350
"B",8.04707,350
"B",6.79288,350
"B",4.9077,350
"B",6.10736,350
