"leafresp","temp"
3.95,16.2
8.04,18.18
7.46,19.51
4.7,15.03
6.37,17.7
6.16,16.03
5.98,17.23
3.82,13.24
6.67,19.04
2.89,13.64
5.98,15.43
5.09,16.81
3.06,14.49
5.43,15.09
3.38,16.6
6.21,16.67
5.72,17.86
2.46,12.87
5.83,17.29
2.82,14.3
5.65,16.52
6.91,18.97
2.18,12.52
3.79,14.88
7.18,19.15
6.75,17.52
5.02,14.67
4.12,14.47
5.94,19.58
0.76,11.23
7.09,18.53
5.46,17.67
1.52,10.66
1.76,11.6
6.58,16.59
6.3,17.49
1.95,11.26
2.33,13.46
2.26,12.14
2.78,12.42
5.1,15.99
5.12,17.89
0.43,9.16
3.53,14.58
4.03,12.24
5.29,15.61
5.06,15.94
2.51,13.73
6.03,18.09
8.36,19.17
5.41,17.48
6.24,17.39
0.56,9.26
8.51,20.14
3.13,12.44
6.09,16.21
6.57,16.23
3.12,13.37
6.78,17.83
1.56,12.77
4.25,15.75
6.37,17.5
3.2,13.64
4.35,14.96
6.16,17.9
8.27,18.71
1.33,11.99
6.42,16.51
4.34,14.26
5.46,17.08
7.61,19.51
4.03,12.24
1.89,11.8
3.17,12.05
3.6,13.08
2.33,11.63
4.12,15.44
4.2,13.02
5.47,16.47
3.9,13.7
4.62,15.78
5.18,16.25
2.82,13.46
5.62,16.16
2.3,11.92
2.82,11.1
7.56,20.41
7.16,17.45
3.69,13.88
1.85,11.53
5.42,14.21
2.08,12.95
1.99,13.31
3.77,15.61
5.3,14.88
5.1,15.42
7.24,19.93
2.79,12.03
2.6,12.68
3.95,14.94
