"dose","dead"
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
2,0
2,0
2,0
2,1
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,0
2,1
2,1
2,0
4,0
4,0
4,1
4,1
4,0
4,0
4,0
4,1
4,0
4,0
4,1
4,1
4,0
4,0
4,0
4,0
4,1
4,0
4,1
4,0
8,1
8,1
8,1
8,0
8,1
8,1
8,1
8,1
8,1
8,1
8,0
8,0
8,0
8,1
8,0
8,1
8,1
8,1
8,1
8,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,0
10,1
10,1
10,0
10,1
10,1
10,1
10,1
10,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
15,1
